gov_stats_code,gov_stats_name,organization,department,stats_type,cycle,data_list_status,has_file,has_db,org_info,org_info_link
00000001,民間企業退職金実態調査,内閣官房,内閣人事局退職手当第２係,-,１回限り,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00000001
00000002,一般職国家公務員在職状況統計表（人事統計報告）,内閣官房,内閣人事局調査係,業務統計,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00000002
00000003,国家公務員退職手当実態調査,内閣官房,内閣人事局退職手当第２係,業務統計,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00000003
00020111,民間企業の勤務条件制度等調査,人事院,職員福祉局職員福祉課,一般統計,年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00020111
00020112,国家公務員死因調査,人事院,職員福祉局職員福祉課,業務統計,３年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00020112
00020131,国家公務員災害補償統計,人事院,職員福祉局補償課,業務統計,年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00020131
00020151,退職公務員生活状況調査,人事院,給与局生涯設計課,一般統計,不定期,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00020151
00020211,一般職の国家公務員の任用状況調査,人事院,人材局企画課,業務統計,年,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00020211
00020311,職種別民間給与実態調査,人事院,給与局給与第一課,一般統計,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00020311
00020312,国家公務員給与等実態調査,人事院,給与局給与第一課,業務統計,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00020312
00020321,民間企業における役員報酬（給与）調査,人事院,給与局給与第二課,一般統計,年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00020321
00000004,人々のつながりに関する基礎調査,内閣府,孤独・孤立対策推進室,一般統計,１年,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00000004
00100001,景気ウォッチャー調査,内閣府,,一般統計,月,登録あり,〇,○,作成機関情報,https://www.e-stat.go.jp/statistics/00100001
00100002,「絆」と社会サービスに関する調査,内閣府,,一般統計,,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00100002
00100003,特定非営利活動法人及び市民の社会貢献に関する実態調査,内閣府,,一般統計,１回限り,登録あり,〇,-,作成機関情報,https://www.e-stat.go.jp/statistics/00100003
