rule_id,label,severity,n_applicable,pass_rate,ci95_low,ci95_high,weighted_pass_rate,unscored_reason,n_files_all_tables_abstain
L1-01,ファイル形式,fatal,599,1.0,0.9936,1.0,1.0,,0
L1-02,1 シート 1 表,fatal,599,0.4224,0.3834,0.4623,0.3907,,0
L1-03,データ分断なし,critical,599,0.2738,0.2396,0.3109,0.2438,,0
L1-04,表外の情報の不存在,major,599,0.0751,0.0566,0.099,0.0492,,0
L1-05,項目名の存在,critical,599,0.5359,0.4959,0.5755,0.5676,,0
L1-06,スペース等の不存在,critical,599,0.202,0.1718,0.236,0.1678,,0
L1-07,1 セル 1 データ,critical,599,0.3322,0.2957,0.3709,0.2782,,0
L1-08,機種依存文字,critical,599,1.0,0.9936,1.0,1.0,,0
L1-09,空白とゼロの区別,minor,0,,,,,AI補助必須,0
L1-10,オブジェクト不使用,critical,599,0.9132,0.8879,0.9332,0.8745,,0
L1-11,書式による表現,critical,599,0.8481,0.8171,0.8746,0.9142,,0
L1-12,セル結合の不存在,critical,599,0.5359,0.4959,0.5755,0.5149,,0
L1-13,不要な行列の削除,critical,599,0.8364,0.8046,0.8639,0.6605,,0
L2-01,数値データの数値属性,fatal,599,0.8047,0.771,0.8344,0.7817,,0
L2-02,項目名等の省略なし,fatal,550,0.4164,0.3759,0.458,0.2565,,0
L2-03,一意な項目名,fatal,594,0.1061,0.0838,0.1334,0.1489,,5
L2-04,選択肢回答の標準化,critical,220,0.85,0.7968,0.8912,0.9567,,0
L2-05,選択肢と詳細の分離,major,220,0.9727,0.9418,0.9874,0.9925,,0
L2-06,数式の不存在,major,597,0.9665,0.9488,0.9782,0.9429,,0
L3-01,ヘッダー開始位置,fatal,599,0.0451,0.0312,0.0648,0.0598,,0
L3-02,コード表の添付,critical,0,,,,,判定対象外,0
L3-03,特殊記号の定義明記,major,0,,,,,判定対象外,0
L3-04,単位の記載,major,594,0.2778,0.2433,0.3151,0.2445,,5
L3-05,時間軸表記の標準化,major,594,0.9327,0.9096,0.9502,0.916,,5
L3-06,地域コード等の表記,critical,184,0.2935,0.2324,0.363,0.4222,,415
L3-07,時系列の一貫性,critical,0,,,,,一括評価専用,0
L3-08,定義と更新履歴,major,0,,,,,判定対象外,0
L3-09,縦持ち形式,major,584,0.875,0.8457,0.8994,0.8634,,15
