stat_type,gov_org,pool_templates,pool_surveys,top_survey_share,n_selected,selected_surveys
基幹統計,総務省,24481,15,0.2344,30,9
基幹統計,経済産業省,1776,10,0.4505,30,7
基幹統計,厚生労働省,2096,9,0.499,30,7
基幹統計,農林水産省,17788,7,0.6064,30,4
基幹統計,国土交通省,1778,9,0.5247,30,8
基幹統計,その他集約,11591,10,0.7252,30,4
一般統計,総務省,489,16,0.2454,30,9
一般統計,経済産業省,883,32,0.1687,30,13
一般統計,厚生労働省,13406,90,0.0957,30,18
一般統計,農林水産省,3849,37,0.3261,30,15
一般統計,国土交通省,4599,57,0.2233,30,16
一般統計,その他集約,15695,113,0.2069,30,17
業務統計,総務省,809,21,0.3523,30,13
業務統計,経済産業省,77,3,0.8571,30,3
業務統計,厚生労働省,1461,43,0.1793,30,13
業務統計,農林水産省,1482,14,0.2375,30,10
業務統計,国土交通省,988,7,0.8502,30,2
業務統計,その他集約,9886,93,0.2842,30,12
加工統計,(府省を層にしない),1645,49,0.1623,30,18
その他,(府省を層にしない),3458,39,0.2736,30,14
