rule_id,単辺±1,単辺±2,四辺複合,過分割,Header±1,実レイアウト
L1-01,0.0,0.0,0.0,0.0,0.0,0.0
L1-02,0.0,0.6,2.6,40.0,0.0,33.3
L1-03,7.8,9.5,20.4,8.3,0.0,17.9
L1-04,5.0,6.6,13.2,0.0,0.0,15.4
L1-05,12.2,13.9,38.8,19.2,17.5,20.5
L1-06,2.8,2.8,12.5,0.0,0.0,5.1
L1-07,1.9,3.2,10.5,0.0,0.0,10.3
L1-08,0.0,0.0,0.0,0.0,0.0,0.0
L1-09,0.0,0.0,0.0,0.0,0.0,0.0
L1-10,0.0,1.6,2.0,0.0,0.0,7.7
L1-11,3.4,6.6,17.8,5.8,16.2,12.8
L1-12,0.6,0.3,1.3,0.0,0.0,5.1
L1-13,0.0,0.0,0.0,0.0,0.0,0.0
L2-01,1.9,4.1,8.6,5.8,6.2,7.7
L2-02,9.7,13.9,34.2,24.2,2.5,30.8
L2-03,9.4,12.3,30.9,15.0,21.2,25.6
L2-04,4.4,6.6,17.1,20.8,7.5,12.8
L2-05,3.4,5.4,13.8,16.7,6.2,12.8
L2-06,2.2,3.2,11.8,0.0,0.0,5.1
L3-01,1.6,2.2,7.9,4.2,1.2,7.7
L3-02,0.0,0.0,0.0,0.0,0.0,0.0
L3-03,0.0,0.0,0.0,0.0,0.0,0.0
L3-04,7.8,11.1,34.2,10.8,50.0,12.8
L3-05,0.0,0.0,0.0,0.0,0.0,0.0
L3-06,0.0,0.0,0.0,0.0,0.0,0.0
L3-07,0.0,0.0,0.0,0.0,0.0,0.0
L3-08,0.0,0.0,0.0,0.0,0.0,0.0
L3-09,0.3,1.3,2.6,1.7,0.0,2.6
